miRNA,symbol,score
hsa-miR-3605-3p,ANKRD13B,69.96
hsa-miR-330-5p,ANKRD13B,69.5649
hsa-miR-7106-5p,ANKRD13B,68.4145
hsa-miR-670-5p,ANKRD13B,68.402
hsa-miR-622,ANKRD13B,67.8820286977
hsa-miR-125a-5p,ANKRD13B,67.2030389364
hsa-miR-125b-5p,ANKRD13B,67.2030389364
hsa-miR-4319,ANKRD13B,67.2030389364
hsa-miR-6739-3p,ANKRD13B,65.425
hsa-miR-15a-5p,ANKRD13B,64.8688
hsa-miR-15b-5p,ANKRD13B,64.8688
hsa-miR-16-5p,ANKRD13B,64.8688
hsa-miR-195-5p,ANKRD13B,64.8688
hsa-miR-8073,ANKRD13B,64.7539412896
hsa-miR-326,ANKRD13B,64.0639
hsa-miR-149-5p,ANKRD13B,63.9997027341088
hsa-miR-3657,ANKRD13B,63.5132312254
hsa-miR-5008-3p,ANKRD13B,63.2678392074
hsa-miR-4723-5p,ANKRD13B,61.1461306433179
hsa-miR-5698,ANKRD13B,61.1461306433179
hsa-miR-6870-5p,ANKRD13B,61.1461306433179
hsa-miR-7111-5p,ANKRD13B,61.1461306433179
hsa-miR-4747-5p,ANKRD13B,60.6854501166795
hsa-miR-5196-5p,ANKRD13B,60.6854501166795
hsa-miR-5087,ANKRD13B,59.9444156815
hsa-miR-6742-5p,ANKRD13B,59.7659939744191
hsa-miR-3179,ANKRD13B,59.6074817087552
hsa-miR-1271-3p,ANKRD13B,57.9946876847828
hsa-miR-550a-3-5p,ANKRD13B,57.9946876847828
hsa-miR-550a-5p,ANKRD13B,57.9946876847828
hsa-miR-627-3p,ANKRD13B,57.9694
hsa-miR-3191-5p,ANKRD13B,57.6179
hsa-miR-4665-5p,ANKRD13B,57.4337216956766
hsa-miR-3085-3p,ANKRD13B,57.3736447282873
hsa-miR-296-5p,ANKRD13B,56.5402123432
hsa-miR-7156-5p,ANKRD13B,56.5253
hsa-miR-519a-3p,ANKRD13B,56.4745
hsa-miR-519b-3p,ANKRD13B,56.4745
hsa-miR-519c-3p,ANKRD13B,56.4745
hsa-miR-331-3p,ANKRD13B,56.3235392224
hsa-miR-424-5p,ANKRD13B,55.8757
hsa-miR-497-5p,ANKRD13B,55.8757
hsa-miR-6838-5p,ANKRD13B,55.8757
hsa-miR-221-5p,ANKRD13B,55.2854353096
hsa-miR-1913,ANKRD13B,55.2645789064
hsa-miR-1237-5p,ANKRD13B,54.7488967642
hsa-miR-4488,ANKRD13B,54.7488967642
hsa-miR-4697-5p,ANKRD13B,54.7488967642
hsa-miR-4273,ANKRD13B,52.8581
hsa-miR-548q,ANKRD13B,52.2088
hsa-miR-6823-3p,ANKRD13B,51.708
hsa-miR-6752-5p,ANKRD13B,51.3752578654
hsa-miR-130a-5p,ANKRD13B,51.2700838984
hsa-miR-3064-5p,ANKRD13B,51.2521061031559
hsa-miR-6504-5p,ANKRD13B,51.2521061031559
hsa-miR-3170,ANKRD13B,50.7929
hsa-miR-2682-3p,ANKRD13B,50.0
hsa-miR-4519,ANKRD13B,50.0
hsa-miR-6781-3p,ANKRD13B,50.0
hsa-miR-4251,ATF3,95.615817904
hsa-miR-6823-5p,ATF3,94.86821
hsa-miR-600,ATF3,92.67647
hsa-miR-6809-3p,ATF3,89.1109
hsa-miR-218-1-3p,ATF3,88.7034
hsa-miR-486-3p,ATF3,82.6482
hsa-miR-4778-3p,ATF3,82.456
hsa-miR-1261,ATF3,81.4681
hsa-miR-1199-5p,ATF3,81.0532632928
hsa-miR-6751-3p,ATF3,81.0532632928
hsa-miR-4422,ATF3,80.8865
hsa-miR-4435,ATF3,79.7992105288
hsa-miR-3163,ATF3,76.7038510635
hsa-miR-651-3p,ATF3,76.4890254861
hsa-miR-6868-3p,ATF3,76.0866
hsa-miR-4640-5p,ATF3,75.6083
hsa-miR-4726-5p,ATF3,75.3933
hsa-miR-4254,ATF3,74.814
hsa-miR-1267,ATF3,74.7636
hsa-miR-367-5p,ATF3,74.7636
hsa-miR-135a-5p,ATF3,73.0892
hsa-miR-135b-5p,ATF3,73.0892
hsa-miR-27a-3p,ATF3,72.6679
hsa-miR-27b-3p,ATF3,72.6679
hsa-miR-513a-5p,ATF3,72.6679
hsa-miR-9985,ATF3,72.6679
hsa-miR-6833-3p,ATF3,70.5048984536
hsa-miR-1289,ATF3,70.4798
hsa-miR-4303,ATF3,70.0288787026
hsa-miR-3200-5p,ATF3,69.7593
hsa-miR-4795-3p,ATF3,69.7106
hsa-miR-494-3p,ATF3,69.4457
hsa-miR-637,ATF3,69.2881000307403
hsa-miR-5010-3p,ATF3,69.0079
hsa-miR-489-3p,ATF3,66.6293
hsa-miR-4768-5p,ATF3,66.3279772056
hsa-miR-6761-5p,ATF3,65.3950575491
hsa-miR-7108-5p,ATF3,64.3584
hsa-miR-1248,ATF3,64.2833
hsa-miR-3660,ATF3,63.9495
hsa-miR-4526,ATF3,63.9495
hsa-miR-3662,ATF3,63.637
hsa-miR-661,ATF3,63.3726192907039
hsa-miR-3127-5p,ATF3,63.3419
hsa-miR-1238-5p,ATF3,62.437
hsa-miR-4758-5p,ATF3,62.437
hsa-miR-2115-3p,ATF3,62.2244
hsa-miR-3605-5p,ATF3,62.0916
hsa-miR-3679-5p,ATF3,62.0916
hsa-miR-4329,ATF3,61.652307642
hsa-miR-5009-3p,ATF3,60.6124
hsa-miR-181a-2-3p,ATF3,60.6004759235
hsa-miR-12128,ATF3,59.9197
hsa-miR-1185-5p,ATF3,59.8969
hsa-miR-6815-3p,ATF3,58.7883
hsa-miR-3692-5p,ATF3,58.7274571082
hsa-miR-6871-5p,ATF3,58.7146
hsa-miR-6849-3p,ATF3,58.6572
hsa-miR-503-3p,ATF3,58.2085
hsa-miR-1236-5p,ATF3,57.879988547
hsa-miR-6878-5p,ATF3,57.4052327480422
hsa-miR-3190-5p,ATF3,57.2876
hsa-miR-3690,ATF3,57.2553
hsa-miR-6731-5p,ATF3,57.0018222151628
hsa-miR-8085,ATF3,57.0018222151628
hsa-miR-4504,ATF3,55.87265
hsa-miR-542-3p,ATF3,55.5909
hsa-miR-4638-3p,ATF3,55.0439
hsa-miR-3194-3p,ATF3,54.639437376
hsa-miR-5692a,ATF3,54.3187
hsa-miR-8057,ATF3,54.1816
hsa-miR-3617-5p,ATF3,54.0188
hsa-miR-641,ATF3,54.0188
hsa-miR-4318,ATF3,53.950778496
hsa-miR-4753-5p,ATF3,53.8298
hsa-miR-1225-5p,ATF3,53.479830126
hsa-miR-3921,ATF3,53.1957
hsa-miR-4653-5p,ATF3,53.1957
hsa-miR-1299,ATF3,53.1471975363004
hsa-miR-1258,ATF3,52.8151
hsa-miR-6506-5p,ATF3,51.5666
hsa-miR-6509-3p,ATF3,51.4131437183
hsa-miR-1290,ATF3,51.1261
hsa-miR-760,ATF3,50.4262476946
hsa-miR-6882-3p,ATF3,50.3993569522
hsa-miR-5687,AXL,92.7958813879315
hsa-miR-34a-5p,AXL,85.9454
hsa-miR-4773,AXL,84.9813510311732
hsa-miR-34c-5p,AXL,83.0213
hsa-miR-4324,AXL,82.6018
hsa-miR-300,AXL,80.9394209244
hsa-miR-381-3p,AXL,80.9394209244
hsa-miR-449a,AXL,80.8316
hsa-miR-924,AXL,80.6288807678098
hsa-miR-4776-5p,AXL,79.3285
hsa-miR-4680-5p,AXL,78.6419898143
hsa-miR-9900,AXL,78.3924
hsa-miR-449b-5p,AXL,77.6682
hsa-miR-8081,AXL,77.3272
hsa-miR-510-3p,AXL,76.6294796164
hsa-miR-1273h-5p,AXL,76.5534923531891
hsa-miR-4728-5p,AXL,76.4499911503616
hsa-miR-500a-3p,AXL,75.979618885
hsa-miR-219b-3p,AXL,74.5432
hsa-miR-2355-5p,AXL,73.1995
hsa-miR-6780a-5p,AXL,71.8078126792761
hsa-miR-8067,AXL,71.58412226315
hsa-miR-6785-5p,AXL,71.5821869584028
hsa-miR-432-5p,AXL,70.9429995059347
hsa-miR-139-5p,AXL,70.842027683
hsa-miR-3156-5p,AXL,70.2152
hsa-miR-1200,AXL,69.4502
hsa-miR-30b-3p,AXL,69.2089745402228
hsa-miR-3689a-3p,AXL,69.2089745402228
hsa-miR-3689b-3p,AXL,69.2089745402228
hsa-miR-3689c,AXL,69.2089745402228
hsa-miR-6779-5p,AXL,69.2089745402228
hsa-miR-574-5p,AXL,68.3172
hsa-miR-7106-5p,AXL,68.3018919730233
hsa-miR-149-3p,AXL,67.7617553203671
hsa-miR-6883-5p,AXL,67.7617553203671
hsa-miR-3142,AXL,67.22621734
hsa-miR-4535,AXL,66.59525
hsa-miR-6508-5p,AXL,65.8559839896001
hsa-miR-608,AXL,65.6794
hsa-miR-6733-5p,AXL,65.122977215
hsa-miR-6739-5p,AXL,65.122977215
hsa-miR-6825-5p,AXL,64.3169731464
hsa-miR-517-5p,AXL,64.023541496
hsa-miR-1296-3p,AXL,63.866
hsa-miR-6505-5p,AXL,63.8234956768
hsa-miR-4453,AXL,63.6348
hsa-miR-4538,AXL,63.6348
hsa-let-7a-3p,AXL,63.5792151072
hsa-let-7b-3p,AXL,63.5792151072
hsa-let-7f-1-3p,AXL,63.5792151072
hsa-miR-98-3p,AXL,63.5792151072
hsa-miR-383-3p,AXL,62.6527
hsa-miR-7843-3p,AXL,62.6375
hsa-miR-10522-5p,AXL,62.3351
hsa-miR-32-5p,AXL,61.8972984487238
hsa-miR-92a-3p,AXL,61.8972984487238
hsa-miR-92b-3p,AXL,61.8972984487238
hsa-miR-518d-5p,AXL,61.8403857570362
hsa-miR-518e-5p,AXL,61.8403857570362
hsa-miR-518f-5p,AXL,61.8403857570362
hsa-miR-519a-5p,AXL,61.8403857570362
hsa-miR-519b-5p,AXL,61.8403857570362
hsa-miR-519c-5p,AXL,61.8403857570362
hsa-miR-520c-5p,AXL,61.8403857570362
hsa-miR-522-5p,AXL,61.8403857570362
hsa-miR-523-5p,AXL,61.8403857570362
hsa-miR-526a-5p,AXL,61.8403857570362
hsa-miR-6799-5p,AXL,61.7832063044334
hsa-miR-4745-3p,AXL,61.5003
hsa-miR-659-5p,AXL,60.716113735
hsa-miR-627-5p,AXL,60.5228
hsa-miR-363-3p,AXL,59.61941410392
hsa-miR-367-3p,AXL,59.61941410392
hsa-miR-25-3p,AXL,59.2355510536825
hsa-miR-3123,AXL,58.5333991739935
hsa-miR-1538,AXL,58.5281
hsa-miR-4800-5p,AXL,58.2092
hsa-miR-1-3p,AXL,57.859
hsa-miR-206,AXL,57.859
hsa-miR-7161-3p,AXL,57.3819
hsa-miR-619-5p,AXL,57.2729
hsa-miR-6506-5p,AXL,57.2729
hsa-miR-5683,AXL,56.7172
hsa-miR-4433a-3p,AXL,56.6933
hsa-miR-3613-3p,AXL,56.4186351268
hsa-miR-3153,AXL,55.9205
hsa-miR-33a-5p,AXL,55.6187
hsa-miR-33b-5p,AXL,55.6187
hsa-miR-6829-5p,AXL,55.2099
hsa-miR-3919,AXL,54.9851503593237
hsa-miR-4539,AXL,54.4698
hsa-miR-4284,AXL,53.3237710444
hsa-miR-6853-5p,AXL,53.0323
hsa-miR-6501-3p,AXL,53.019562184
hsa-miR-3612,AXL,52.94972764
hsa-miR-650,AXL,52.94972764
hsa-miR-1245b-5p,AXL,52.436746624
hsa-miR-12113,AXL,52.3879
hsa-miR-1264,AXL,52.2975
hsa-miR-11399,AXL,52.0271
hsa-miR-3188,AXL,51.9921
hsa-miR-200a-5p,AXL,51.5598
hsa-miR-200b-5p,AXL,51.5598
hsa-miR-5684,AXL,51.3647584143
hsa-miR-520g-5p,AXL,51.1086899478196
hsa-miR-4651,AXL,51.0826
hsa-miR-548aa,AXL,50.0091090196
hsa-miR-548ap-3p,AXL,50.0091090196
hsa-miR-548t-3p,AXL,50.0091090196
hsa-miR-499a-3p,AXL,50.0
hsa-miR-499b-3p,AXL,50.0
hsa-miR-613,AXL,50.0
hsa-miR-9902,AXL,50.0
hsa-miR-4723-5p,CDHR5,71.6162231783029
hsa-miR-5698,CDHR5,71.6162231783029
hsa-miR-6870-5p,CDHR5,71.6162231783029
hsa-miR-7111-5p,CDHR5,71.6162231783029
hsa-miR-3978,CDHR5,67.6377
hsa-miR-1275,CDHR5,65.676358071878
hsa-miR-6859-3p,CDHR5,64.444158122
hsa-miR-6827-5p,CDHR5,59.6799434558057
hsa-miR-376a-2-5p,CDHR5,58.4363
hsa-miR-3665,CDHR5,56.3346199606872
hsa-miR-623,CDHR5,56.1935
hsa-miR-3199,CDHR5,55.8101
hsa-miR-8052,CDHR5,55.8101
hsa-miR-4437,CDHR5,54.2247488288
hsa-miR-661,CDHR5,54.0492963508
hsa-miR-5004-3p,CHL1,99.5370099258781
hsa-miR-6516-3p,CHL1,98.4399747596234
hsa-miR-570-3p,CHL1,97.8306922579171
hsa-miR-1305,CHL1,97.8085608396198
hsa-miR-3148,CHL1,96.8054084044206
hsa-miR-12135,CHL1,96.7734109248729
hsa-miR-302c-5p,CHL1,96.319146263
hsa-let-7c-3p,CHL1,95.7991588181717
hsa-miR-3920,CHL1,95.76621206273
hsa-miR-4742-5p,CHL1,94.67725360072
hsa-miR-6731-3p,CHL1,94.217231909
hsa-miR-30a-5p,CHL1,94.0613327086
hsa-miR-30b-5p,CHL1,94.0613327086
hsa-miR-30c-5p,CHL1,94.0613327086
hsa-miR-30d-5p,CHL1,94.0613327086
hsa-miR-30e-5p,CHL1,94.0613327086
hsa-miR-510-3p,CHL1,93.9089090065334
hsa-miR-1236-3p,CHL1,93.84925
hsa-miR-3163,CHL1,93.4799950967339
hsa-miR-7154-5p,CHL1,93.29155658848
hsa-miR-19a-5p,CHL1,93.2489374754
hsa-miR-19b-1-5p,CHL1,93.2489374754
hsa-miR-19b-2-5p,CHL1,93.2489374754
hsa-miR-5692a,CHL1,93.1769889739789
hsa-miR-4803,CHL1,93.1175593242879
hsa-miR-153-5p,CHL1,92.6539564936954
hsa-miR-3672,CHL1,92.040044164
hsa-miR-6864-3p,CHL1,92.040044164
hsa-miR-1285-3p,CHL1,91.82529
hsa-miR-5189-5p,CHL1,91.82529
hsa-miR-4738-3p,CHL1,91.6647315946
hsa-miR-3187-5p,CHL1,91.62039
hsa-miR-612,CHL1,91.62039
hsa-miR-6860,CHL1,91.62039
hsa-miR-8076,CHL1,91.387958797
hsa-miR-8087,CHL1,91.203080656
