symbol,n_methods,lasso_freq,shap_meanabs,in_meta_core,is_hub,uniprot,protein,length,uniprot_keywords,target_class,n_drugs_known,n_drugs_launched,known_drugs,repurposing_hook,known_moa,chembl_target,chembl_n_activities,n_pdb,n_pdb_holo,pdb_candidates,pdb_id,pdb_resolution,pdb_method,pdb_ligands,pocket_evidence,alphafold_plddt,decision,reason,note
VIP,2.0,0.26,0.0,True,True,P01282,VIP peptides,170.0,3D-structure;Alternative splicing;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Phosphoprotein;Proteomics identification,Other,0.0,0.0,,False,,CHEMBL5737,5.0,5.0,0.0,,,,,,none,67.62,EXCLUDE,"Other; 无可用结构 (n_pdb=5, AF2=67.62)",
WDR81,2.0,0.25,0.0440271906554698,True,True,Q562E7,WD repeat-containing protein 81,1941.0,Alternative splicing;Cytoplasm;Cytoplasmic vesicle;Disease variant;Endosome;Intellectual disability;Lysosome;Membrane,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,67.94,EXCLUDE,"Other; 无可用结构 (n_pdb=0, AF2=67.94)",
ECEL1,2.0,0.17,0.1287751793861389,True,True,O95672,Endothelin-converting enzyme-like 1,775.0,Alternative splicing;Disease variant;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Metal-binding;Metalloprotease,Protease,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,87.75,HOLD_AF2,"Protease; 无合格实验结构 (n_pdb=0), AF2 pLDDT=87.8，无共晶配体",
LNP1,2.0,0.17,0.0130268074572086,True,True,A1A4G5,Leukemia NUP98 fusion partner 1,178.0,Chromosomal rearrangement;Proteomics identification;Reference proteome,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,63.94,EXCLUDE,"Other; 无可用结构 (n_pdb=0, AF2=63.94)",
ANKRD1,2.0,0.17,0.008315872400999,False,True,Q15327,Ankyrin repeat domain-containing protein 1,319.0,ANK repeat;Coiled coil;Nucleus;Proteomics identification;Reference proteome;Repeat,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,82.81,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=0), AF2 pLDDT=82.8，无共晶配体",
TNIK,2.0,0.11,0.0490496084094047,True,True,Q9UKE5,TRAF2 and NCK-interacting protein kinase,1360.0,3D-structure;Alternative splicing;ATP-binding;Cytoplasm;Cytoskeleton;Endosome;Intellectual disability;Kinase,Kinase,0.0,0.0,,False,,CHEMBL4527,2177.0,12.0,10.0,6RA7;7XZQ;7XZR;5AX9;9XW0;8ZML,6RA7,1.2,X-ray,,holo,63.56,DOCK,"Kinase; PDB 6RA7 (1.2 Å, X-ray); 含非聚合物配体；共 6 个候选结构",
ITPKC,2.0,0.11,0.0210146810859441,True,True,Q96DU7,Inositol-trisphosphate 3-kinase C,683.0,3D-structure;ATP-binding;Calmodulin-binding;Cytoplasm;Kinase;Nucleotide-binding;Nucleus;Phosphoprotein,Kinase,0.0,0.0,,False,,,0.0,1.0,1.0,2A98,2A98,2.6,X-ray,,holo,58.91,DOCK,"Kinase; PDB 2A98 (2.6 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
ANKRD13B,2.0,0.08,0.0144529724493622,True,True,Q86YJ7,Ankyrin repeat domain-containing protein 13B,626.0,Acetylation;Alternative splicing;ANK repeat;Cell membrane;Endosome;Membrane;Proteomics identification;Reference proteome,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,71.44,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=0), AF2 pLDDT=71.4，无共晶配体",
FLRT3,2.0,0.07,0.1196207702159881,True,True,Q9NZU0,Leucine-rich repeat transmembrane protein FLRT3,649.0,3D-structure;Cell adhesion;Cell junction;Cell membrane;Cell projection;Developmental protein;Disease variant;Disulfide bond,Other,0.0,0.0,,False,,,0.0,3.0,3.0,6JBU;5CMP,6JBU,1.849,X-ray,,holo,74.31,DOCK,"Other; PDB 6JBU (1.849 Å, X-ray); 含非聚合物配体；共 2 个候选结构",
CTTN,2.0,0.07,0.0216212309896945,True,True,Q14247,Src substrate cortactin,550.0,3D-structure;Acetylation;Alternative splicing;Cell junction;Cell membrane;Cell projection;Coated pit;Coiled coil,Other,0.0,0.0,,False,,CHEMBL4295820,6.0,5.0,1.0,2D1X,2D1X,1.9,X-ray,,holo,62.47,DOCK,"Other; PDB 2D1X (1.9 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
CHL1,2.0,0.06,0.1204430535435676,True,True,Q96FC9,ATP-dependent DNA helicase DDX11,970.0,4Fe-4S;Activator;Alternative splicing;ATP-binding;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein,Transcription factor,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,71.31,HOLD_AF2,"Transcription factor; 无合格实验结构 (n_pdb=0), AF2 pLDDT=71.3，无共晶配体",
AXL,2.0,0.05,0.1275175362825393,True,True,P30530,Tyrosine-protein kinase receptor UFO,894.0,3D-structure;Alternative splicing;ATP-binding;Cell membrane;Differentiation;Disulfide bond;Glycoprotein;Host cell receptor for virus entry,Kinase,5.0,0.0,,False,,CHEMBL4895,13322.0,4.0,4.0,5VXZ;5U6B;4RA0;2C5D,5VXZ,2.3,X-ray,,holo,75.06,DOCK,"Kinase; PDB 5VXZ (2.3 Å, X-ray); 含非聚合物配体；共 4 个候选结构",
FLNC,2.0,0.04,0.339845061302185,True,True,Q14315,Filamin-C,2725.0,3D-structure;Actin-binding;Alternative splicing;Cardiomyopathy;Cytoplasm;Cytoskeleton;Direct protein sequencing;Disease variant,Other,0.0,0.0,,False,,,0.0,14.0,3.0,7P0E;2NQC;3V8O,7P0E,1.6,X-ray,,holo,75.06,DOCK,"Other; PDB 7P0E (1.6 Å, X-ray); 含非聚合物配体；共 3 个候选结构",
RNF19B,2.0,0.03,0.5359498262405396,True,True,Q6ZMZ0,E3 ubiquitin-protein ligase RNF19B,732.0,Adaptive immunity;Alternative splicing;Endoplasmic reticulum;Immunity;Membrane;Metal-binding;Proteomics identification;Reference proteome,Enzyme,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,58.0,EXCLUDE,"Enzyme; 无可用结构 (n_pdb=0, AF2=58.0)",
SERPINE1,2.0,0.02,0.0,True,True,P05121,Plasminogen activator inhibitor 1,402.0,3D-structure;Alternative splicing;Direct protein sequencing;Glycoprotein;Protease inhibitor;Proteomics identification;Reference proteome;Secreted,Other,1.0,0.0,,False,,CHEMBL3475,499.0,25.0,16.0,7AQF;1LJ5;1A7C;4G8R;7AQG;3PB1,7AQF,1.77,X-ray,,holo,88.88,DOCK,"Other; PDB 7AQF (1.77 Å, X-ray); 含非聚合物配体；共 6 个候选结构",
CRISP3,2.0,0.02,0.0280593764036893,True,True,P54108,Cysteine-rich secretory protein 3,245.0,Alternative splicing;Disulfide bond;Glycoprotein;Proteomics identification;Reference proteome;Secreted;Signal,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,92.5,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=0), AF2 pLDDT=92.5，无共晶配体",
AGRN,2.0,0.02,0.0531091541051864,True,True,O00468,Agrin,2068.0,3D-structure;Alternative splicing;Calcium;Cell membrane;Congenital myasthenic syndrome;Developmental protein;Differentiation;Disease variant,Other,0.0,0.0,,False,,CHEMBL4295648,1.0,1.0,0.0,,,,,,none,68.81,EXCLUDE,"Other; 无可用结构 (n_pdb=1, AF2=68.81)",
REG3B,2.0,0.02,0.0,False,True,,,,,,,,,,,,,,,,,,,,,,EXCLUDE,无人源 reviewed UniProt 条目,
TNS3,2.0,0.02,0.0,True,True,Q68CZ2,Tensin-3,1445.0,3D-structure;Alternative splicing;Cell junction;Cell projection;Hydrolase;Phosphoprotein;Protein phosphatase;Proteomics identification,Phosphatase,0.0,0.0,,False,,CHEMBL4295861,1.0,1.0,0.0,9QN7,9QN7,2.76,X-ray,,apo/none,56.81,HOLD_APO,Phosphatase; 仅有解析结构 PDB 9QN7(2.76 Å)，无配体/配体均为非类药物 → 无法定位对接盒,
MAPK14,2.0,0.01,0.0575072355568409,True,True,Q16539,Mitogen-activated protein kinase 14,360.0,3D-structure;Acetylation;Alternative splicing;Apoptosis;ATP-binding;Cytoplasm;Direct protein sequencing;Kinase,Kinase,38.0,0.0,,False,,CHEMBL260,16447.0,25.0,25.0,2FST;3LFF;3OEF;3ZS5;4EHV;5WJJ,2FST,1.45,X-ray,,holo,89.75,DOCK,"Kinase; PDB 2FST (1.45 Å, X-ray); 含非聚合物配体；共 6 个候选结构",
VASH2,2.0,0.0,0.1052602007985115,True,True,Q86V25,Tubulinyl-Tyr carboxypeptidase 2,355.0,3D-structure;Alternative splicing;Carboxypeptidase;Cytoplasm;Cytoskeleton;Hydrolase;Phosphoprotein;Protease,Protease,0.0,0.0,,False,,,0.0,7.0,6.0,6J4P;6J4V;6J4O;6J4Q;6J4S,6J4P,1.599,X-ray,BJL,holo,80.44,DOCK,"Protease; PDB 6J4P (1.599 Å, X-ray); 含非聚合物配体；共 5 个候选结构",
NPY,2.0,0.0,0.0,True,True,P01303,Pro-neuropeptide Y,97.0,3D-structure;Amidation;Cleavage on pair of basic residues;Cytoplasmic vesicle;Neuropeptide;Phosphoprotein;Proteomics identification;Reference proteome,Other,0.0,0.0,,False,,,0.0,10.0,1.0,7RTA,7RTA,2.6,X-ray,,holo,75.62,DOCK,"Other; PDB 7RTA (2.6 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
WBP1L,2.0,0.0,0.0246352478861808,True,True,Q9NX94,WW domain binding protein 1-like,342.0,Alternative splicing;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,55.31,EXCLUDE,"Other; 无可用结构 (n_pdb=0, AF2=55.31)",
ACVR1,2.0,0.0,0.0,True,True,Q04771,Activin receptor type-1,509.0,3D-structure;ATP-binding;Disease variant;Glycoprotein;Kinase;Magnesium;Manganese;Membrane,Kinase,6.0,0.0,,False,,CHEMBL5903,7022.0,25.0,25.0,6SRH;5S75;5S78;5S7A;5S7H;5S7I,6SRH,1.25,X-ray,,holo,83.12,DOCK,"Kinase; PDB 6SRH (1.25 Å, X-ray); 含非聚合物配体；共 6 个候选结构",
RUBCN,2.0,0.0,0.0,True,True,Q92622,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein,972.0,3D-structure;Alternative splicing;Autophagy;Endocytosis;Endosome;Immunity;Lysosome;Neurodegeneration,Other,0.0,0.0,,False,,,0.0,2.0,2.0,6WCW,6WCW,2.8,X-ray,GTP,holo,63.31,DOCK,"Other; PDB 6WCW (2.8 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
CACNA2D1,,,,True,False,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,1103.0,3D-structure;Alternative splicing;Calcium;Calcium channel;Calcium transport;Cell membrane;Disease variant;Disulfide bond,Ion channel,9.0,8.0,amlodipine;diltiazem;gabapentin;isradipine;lercanidipine;nifedipine,True,calcium channel blocker;mineralocorticoid receptor antagonist,CHEMBL1919,3692.0,25.0,25.0,,,,,,none,86.56,HOLD_AF2,"Ion channel; 无合格实验结构 (n_pdb=25), AF2 pLDDT=86.6，无共晶配体",§6 优先靶标（核心签名内，非 hub）
SCN9A,,,,True,False,Q15858,Sodium channel protein type 9 subunit alpha,1988.0,3D-structure;Alternative splicing;Cell membrane;Cell projection;Disease variant;Disulfide bond;Epilepsy;Glycoprotein,Ion channel,20.0,16.0,alfuzosin;carbamazepine;eslicarbazepine-acetate;lamotrigine;lidocaine;oxcarbazepine,True,GABA receptor antagonist;adrenergic receptor antagonist;benzodiazepine receptor agonist|HDAC inhibitor,CHEMBL4296,17017.0,25.0,25.0,8YHZ;9Y7F,8YHZ,1.62,X-ray,,apo/none,69.06,HOLD_APO,Ion channel; 仅有解析结构 PDB 8YHZ(1.62 Å)，无配体/配体均为非类药物 → 无法定位对接盒,§6 优先靶标（核心签名内，非 hub）
SCN10A,,,,True,False,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,1956.0,3D-structure;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane,Ion channel,31.0,27.0,alfuzosin;benzethonium;benzocaine;bupivacaine;carbamazepine;chloroprocaine,True,GABA receptor antagonist;HMGCR inhibitor;adrenergic receptor antagonist,CHEMBL5451,2159.0,8.0,8.0,,,,,,none,67.31,EXCLUDE,"Ion channel; 无可用结构 (n_pdb=8, AF2=67.31)",§6 优先靶标（核心签名内，非 hub）
SCN11A,,,,True,False,Q9UI33,Sodium channel protein type 11 subunit alpha,1791.0,Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane,Ion channel,14.0,14.0,alfuzosin;carbamazepine;eslicarbazepine-acetate;lamotrigine;oxcarbazepine;phenacemide,True,GABA receptor antagonist;adrenergic receptor antagonist;benzodiazepine receptor agonist|HDAC inhibitor,CHEMBL5167,15.0,0.0,0.0,,,,,,none,69.31,EXCLUDE,"Ion channel; 无可用结构 (n_pdb=0, AF2=69.31)",§6 优先靶标（核心签名内，非 hub）
KCNQ2,,,,True,False,O43526,Potassium voltage-gated channel subfamily KQT member 2,872.0,3D-structure;Alternative splicing;Cell membrane;Disease variant;Epilepsy;Intellectual disability;Ion channel;Ion transport,Ion channel,11.0,6.0,amitriptyline;dalfampridine;diclofenac;flupirtine;meclofenamic-acid;pyrithione-zinc,True,ATP synthase inhibitor;cyclooxygenase inhibitor;cyclooxygenase inhibitor|prostanoid receptor antagonist,CHEMBL2476,394.0,25.0,25.0,,,,,,none,58.19,EXCLUDE,"Ion channel; 无可用结构 (n_pdb=25, AF2=58.19)",§6 优先靶标（核心签名内，非 hub）
GABRA1,,,,True,False,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,456.0,3D-structure;Cell membrane;Chloride;Chloride channel;Cytoplasmic vesicle;Disease variant;Disulfide bond;Epilepsy,Ion channel,55.0,23.0,acamprosate;amoxapine;bemegride;beta-CCB;butalbital;clomethiazole,True,GABA receptor antagonist;GABA receptor antagonist|GABA receptor modulator;GABA receptor modulator,CHEMBL1962,996.0,25.0,25.0,,,,,,none,81.69,HOLD_AF2,"Ion channel; 无合格实验结构 (n_pdb=25), AF2 pLDDT=81.7，无共晶配体",§6 优先靶标（核心签名内，非 hub）
ADRA2A,,,,True,False,P08913,Alpha-2A adrenergic receptor,465.0,3D-structure;Cell membrane;Direct protein sequencing;Disulfide bond;G protein-coupled receptor;Glycoprotein;Lipoprotein;Membrane,Other,78.0,60.0,(R)-(-)-apomorphine;amitraz;amitriptyline;amoxapine;apraclonidine;aripiprazole,True,adrenergic receptor agonist;adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter;adrenergic receptor agonist|dopamine receptor agonist,CHEMBL1867,10014.0,19.0,14.0,6KUX;6KUY,6KUX,2.7,X-ray,,holo,70.19,DOCK,"Other; PDB 6KUX (2.7 Å, X-ray); 含非聚合物配体；共 2 个候选结构",§6 优先靶标（核心签名内，非 hub）
OPRM1,,,,True,False,P35372,Mu-type opioid receptor,400.0,3D-structure;Alternative splicing;Cell membrane;Cell projection;Cytoplasm;Disulfide bond;Endosome;G protein-coupled receptor,Other,32.0,16.0,alvimopan;amitriptyline;dextromethorphan;eluxadoline;levallorphan;loperamide,True,glutamate receptor antagonist|sigma receptor agonist;norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI);opioid receptor agonist,CHEMBL233,31711.0,25.0,25.0,,,,,,none,76.56,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=25), AF2 pLDDT=76.6，无共晶配体",§6 优先靶标（核心签名内，非 hub）
