chembl_id,pref_name,n_targets,n_top1pct,n_top5pct,best_composite,mean_composite,best_affinity,med_affinity,best_target,pain_prior,drh_phase,drh_moa,drh_indication,mw,logp,tpsa,D2,D3,breadth_bonus,drug_rank_score
CHEMBL85,RISPERIDONE,10,0,1,0.8311742857142856,0.5092674285714286,-9.43,-7.093,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder|irritability,410.5,3.59,64.2,0.4,1.0,0.2890648263178878,0.6956469208651861
CHEMBL71,CHLORPROMAZINE,10,0,1,0.8271742857142856,0.4669674285714286,-9.377,-6.3475,ADRA2A,False,Launched,dopamine receptor antagonist,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus,318.9,4.89,6.5,0.4,1.0,0.2890648263178878,0.6926469208651862
CHEMBL778,DEXMEDETOMIDINE,10,0,1,0.8251742857142856,0.4919174285714286,-9.361,-6.906499999999999,ADRA2A,True,Launched,adrenergic receptor agonist,sedative,200.3,3.18,28.7,0.4,1.0,0.2890648263178878,0.6911469208651861
CHEMBL597,PHENTOLAMINE,10,0,1,0.8181742857142857,0.48676742857142863,-9.242,-6.8515,ADRA2A,False,Launched,adrenergic receptor antagonist,pheochromocytoma|hypertension,281.4,2.84,47.9,0.4,1.0,0.2890648263178878,0.6858969208651862
CHEMBL1764,LEVOMEPROMAZINE,10,0,1,0.8151742857142859,0.5165174285714287,-9.613,-7.1325,ADRA2A,False,Launched,dopamine receptor antagonist,psychosis|schizophrenia|bipolar disorder|nausea|insomnia,328.5,4.5,15.7,0.4,1.0,0.2890648263178878,0.6836469208651863
CHEMBL72,DESIPRAMINE,10,0,1,0.8131742857142858,0.5422174285714286,-9.564,-8.149000000000001,ADRA2A,False,Launched,tricyclic antidepressant,depression,266.4,3.53,15.3,0.4,1.0,0.2890648263178878,0.6821469208651862
CHEMBL134,CLONIDINE,10,0,1,0.8111742857142858,0.49951742857142856,-9.166,-6.932,ADRA2A,True,Launched,adrenergic receptor agonist,hypertension|attention-deficit/hyperactivity disorder (ADHD),230.1,2.36,36.4,0.4,1.0,0.2890648263178878,0.6806469208651863
CHEMBL442,ERGOTAMINE,10,0,1,0.8071742857142857,0.5082174285714286,-9.475,-7.855,ADRA2A,False,Launched,adrenergic receptor antagonist,migraine headache,581.7,1.99,118.2,0.6000000000000001,0.75,0.2890648263178878,0.6776469208651862
CHEMBL647,APRACLONIDINE,10,1,1,0.8001742857142857,0.4425674285714286,-10.147,-6.323,ADRA2A,False,Launched,adrenergic receptor agonist,glaucoma|intraocular pressure,245.1,1.76,62.4,0.4,1.0,0.2890648263178878,0.6723969208651862
CHEMBL654,MIRTAZAPINE,10,0,1,0.7851742857142858,0.5063674285714286,-9.455,-7.1565,ADRA2A,False,Launched,adrenergic receptor antagonist|serotonin receptor antagonist,depression,265.4,2.48,19.4,0.4,1.0,0.2890648263178878,0.6611469208651863
CHEMBL1200347,ISOPROPAMIDE IODIDE,10,1,2,0.7241742857142858,0.4790674285714286,-10.329,-7.3485,ADRA2A,False,,,,353.5,4.11,43.1,0.0,0.9,0.45815690999132624,0.6576699417835459
CHEMBL844,BRIMONIDINE,10,0,1,0.7761742857142857,0.5027174285714285,-9.495,-7.0175,ADRA2A,False,Launched,adrenergic receptor agonist,intraocular pressure|glaucoma|ocular hypertension,292.1,1.76,62.2,0.4,1.0,0.2890648263178878,0.6543969208651862
CHEMBL42,CLOZAPINE,10,0,1,0.7721742857142857,0.5806674285714285,-9.167,-7.8325,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,326.8,3.72,30.9,0.4,1.0,0.2890648263178878,0.6513969208651862
CHEMBL1770,LEVAMISOLE HYDROCHLORIDE,10,2,3,0.675,0.5365174285714286,-11.172,-8.3675,SLC2A1,False,,,,204.3,2.15,15.6,0.0,1.0,0.5781296526357756,0.650782413158944
CHEMBL1437,NOREPINEPHRINE,10,1,1,0.7691742857142858,0.5163174285714286,-10.084,-7.6475,ADRA2A,False,Launched,adrenergic receptor agonist,hypertension|urticaria|headache|seasonal affective disorder,169.2,0.09,86.7,0.4,0.75,0.2890648263178878,0.6491469208651863
CHEMBL1256818,DEXTROMETHORPHAN HYDROBROMIDE,10,1,3,0.6719999999999999,0.5375174285714286,-9.737,-8.0795,SLC2A1,False,,,,271.4,3.38,12.5,0.0,1.0,0.5781296526357756,0.6485324131589439
CHEMBL677,LEVONORDEFRIN,10,0,1,0.7551742857142857,0.42291742857142856,-9.532,-7.122999999999999,ADRA2A,False,Launched,vasodilator,hemorrhage,183.2,0.48,86.7,0.4,0.6,0.2890648263178878,0.6386469208651862
CHEMBL2,PRAZOSIN,10,1,1,0.7541742857142858,0.5269174285714285,-10.246,-7.8469999999999995,ADRA2A,False,Launched,adrenergic receptor antagonist,hypertension,383.4,1.78,107.0,0.4,0.8,0.2890648263178878,0.6378969208651862
CHEMBL623,NEFAZODONE,10,0,1,0.7501742857142857,0.4547174285714286,-9.425,-8.0485,ADRA2A,False,Withdrawn,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor,,470.0,3.55,55.5,0.4,0.6,0.2890648263178878,0.6348969208651862
CHEMBL679,EPINEPHRINE,10,0,1,0.7491742857142857,0.48751742857142855,-9.403,-8.0165,ADRA2A,False,Launched,adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter,cardiac arrest|anaphylactic shock|asthma,183.2,0.35,72.7,0.4,0.6,0.2890648263178878,0.6341469208651862
CHEMBL1185,ZOLMITRIPTAN,10,0,1,0.7451742857142858,0.5566674285714286,-9.401,-7.232,ADRA2A,True,Launched,serotonin receptor agonist,migraine headache,287.4,1.92,57.4,0.2,1.0,0.2890648263178878,0.6311469208651863
CHEMBL184412,DRONEDARONE,10,0,2,0.6821742857142856,0.4002674285714286,-9.365,-7.432,ADRA2A,False,Launched,adrenergic receptor antagonist,atrial fibrillation (AF),556.8,7.05,88.8,0.4,0.4,0.45815690999132624,0.6261699417835457
CHEMBL19449,IBUDILAST,10,1,2,0.673,0.4984674285714286,-10.08,-7.0794999999999995,GALNS,False,Launched,leukotriene receptor antagonist|phosphodiesterase inhibitor,asthma|stroke,230.3,3.3,34.4,0.0,1.0,0.45815690999132624,0.6192892274978316
CHEMBL1113,AMOXAPINE,10,0,0,0.8231742857142856,0.4874174285714286,-9.343,-7.0725,ADRA2A,False,Launched,norepinephrine reputake inhibitor,depression,313.8,3.43,36.9,0.4,1.0,0.0,0.6173807142857142
CHEMBL27810,CELIPROLOL,10,0,1,0.7241742857142857,0.4599674285714285,-9.2,-7.577999999999999,ADRA2A,False,Launched,adrenergic receptor antagonist,Ehlers-Danlos syndrome (EDS),379.5,2.89,90.9,0.4,0.6,0.2890648263178878,0.6153969208651862
CHEMBL900,ORPHENADRINE,10,1,1,0.723,0.5235174285714286,-10.274,-6.502,SERPINE1,False,Launched,acetylcholine receptor antagonist,muscle pain,269.4,3.66,12.5,0.2,1.0,0.2890648263178878,0.6145162065794719
CHEMBL12,DIAZEPAM,10,0,2,0.663,0.4607674285714286,-9.233,-6.743,MAPK14,True,,,,284.7,3.15,32.7,0.0,1.0,0.45815690999132624,0.6117892274978316
CHEMBL459,METHYLDOPA,10,0,1,0.7171742857142858,0.3237174285714286,-9.583,-6.398,ADRA2A,False,Launched,adrenergic receptor agonist,hypertension,211.2,0.44,103.8,0.4,0.4,0.2890648263178878,0.6101469208651862
CHEMBL1201234,MEPHENTERMINE,10,0,0,0.8121742857142857,0.4629674285714286,-9.188,-6.507,ADRA2A,False,Launched,adrenergic receptor agonist,hypotension,163.3,2.23,12.0,0.4,1.0,0.0,0.6091307142857143
CHEMBL526,PROPOFOL,10,0,1,0.7141742857142857,0.5397674285714286,-9.208,-7.811,ADRA2A,True,Launched,benzodiazepine receptor agonist,anesthetic,178.3,3.64,20.2,0.0,1.0,0.2890648263178878,0.6078969208651861
CHEMBL1201206,PIPECURONIUM,10,0,2,0.657,0.46681742857142855,-9.544,-7.085,TNIK,False,Launched,neuromuscular blocker,anesthetic,602.9,3.63,59.1,0.0,0.9500000000000001,0.45815690999132624,0.6072892274978315
CHEMBL3182733,PRAMIPEXOLE DIHYDROCHLORIDE,10,0,2,0.6565,0.5441174285714285,-9.1,-8.0685,MAPK14,False,,,,211.3,1.58,50.9,0.0,1.0,0.45815690999132624,0.6069142274978315
CHEMBL862,GUANFACINE,10,0,0,0.8091742857142858,0.4899674285714286,-9.162,-7.0385,ADRA2A,False,Launched,adrenergic receptor agonist,hypertension,246.1,1.55,79.0,0.4,1.0,0.0,0.6068807142857144
CHEMBL3989908,ENASIDENIB,10,0,3,0.6161742857142858,0.37581742857142864,-9.538,-6.9510000000000005,ADRA2A,False,Launched,isocitrate dehydrogenase inhibitor,acute myeloid leukemia (AML),473.4,4.29,108.7,0.0,0.4,0.5781296526357756,0.6066631274446582
CHEMBL1420,PRALIDOXIME,10,1,2,0.654,0.4671174285714286,-10.494,-6.9735,SERPINE1,False,Launched,acetylcholinesterase inhibitor,organophosphate poisoning,137.2,0.32,36.5,0.0,0.9,0.45815690999132624,0.6050392274978316
CHEMBL181,DIAZOXIDE,10,0,1,0.7081742857142856,0.5282174285714285,-9.706,-7.8295,ADRA2A,False,Launched,potassium channel activator,hypoglycemia,230.7,1.68,58.5,0.0,1.0,0.2890648263178878,0.6033969208651861
CHEMBL831,LOXAPINE,10,0,0,0.8031742857142858,0.5463674285714286,-9.078,-7.5920000000000005,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,327.8,3.77,28.1,0.4,1.0,0.0,0.6023807142857144
CHEMBL753,PHENOXYBENZAMINE,10,0,0,0.8011742857142857,0.5022174285714286,-9.323,-7.2215,ADRA2A,False,Launched,adrenergic receptor antagonist,hypertension|pheochromocytoma,303.8,4.19,12.5,0.4,0.9,0.0,0.6008807142857143
CHEMBL1079,TIZANIDINE,10,0,0,0.7921742857142857,0.4941674285714286,-8.917,-7.335,ADRA2A,True,Launched,adrenergic receptor agonist,spasms,253.7,1.72,62.2,0.4,1.0,0.0,0.5941307142857143
CHEMBL1430,PENICILLAMINE,10,0,2,0.639,0.47336742857142855,-9.231,-6.9605,SERPINE1,False,,,,149.2,0.11,63.3,0.0,0.9,0.45815690999132624,0.5937892274978316
CHEMBL770,TOLAZOLINE,10,0,0,0.7901742857142857,0.5203174285714286,-8.962,-7.5725,ADRA2A,False,Launched,adrenergic receptor antagonist,reverse sedative,160.2,1.23,24.4,0.4,1.0,0.0,0.5926307142857143
CHEMBL708,ZIPRASIDONE,10,0,0,0.7881742857142857,0.42806742857142865,-8.851,-6.3735,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,412.9,3.81,48.5,0.4,1.0,0.0,0.5911307142857143
CHEMBL1201037,EFLORNITHINE HYDROCHLORIDE,10,1,2,0.635,0.4446174285714286,-10.373,-6.897,MAPK14,False,,,,182.2,-0.23,89.3,0.0,0.8,0.45815690999132624,0.5907892274978316
CHEMBL312448,XYLOMETAZOLINE,10,0,0,0.7861742857142857,0.4831174285714286,-8.815,-6.962999999999999,ADRA2A,False,Launched,adrenergic receptor agonist,nasal congestion|allergic rhinitis,244.4,3.15,24.4,0.4,1.0,0.0,0.5896307142857142
CHEMBL1380,ABACAVIR,10,1,2,0.631,0.4883674285714286,-9.905,-7.2885,ACVR1,False,Launched,nucleoside reverse transcriptase inhibitor,human immunodeficiency virus (HIV-1),286.3,1.09,101.9,0.0,0.8,0.45815690999132624,0.5877892274978316
CHEMBL3989923,PITAVASTATIN MAGNESIUM,10,0,1,0.6861742857142857,0.4525674285714286,-9.376,-7.141500000000001,ADRA2A,False,,,,420.5,3.18,93.5,0.0,0.8,0.2890648263178878,0.5868969208651862
CHEMBL301265,PRAMIPEXOLE,10,0,0,0.7821742857142857,0.4749174285714286,-8.842,-6.737500000000001,ADRA2A,False,Launched,dopamine receptor agonist,Parkinson's Disease,211.3,1.58,50.9,0.4,1.0,0.0,0.5866307142857143
CHEMBL629,AMITRIPTYLINE,10,0,0,0.7771742857142858,0.48911742857142854,-8.85,-7.0235,ADRA2A,True,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),depression,277.4,4.17,3.2,0.4,1.0,0.0,0.5828807142857144
CHEMBL716,QUETIAPINE,10,0,0,0.7751742857142858,0.43381742857142863,-8.679,-6.043,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,383.5,2.86,48.3,0.4,1.0,0.0,0.5813807142857144
CHEMBL1200353,MEGLUMINE METRIZOATE,10,0,2,0.62,0.4972174285714286,-9.347,-7.833,ACVR1,False,,,,627.9,3.14,86.7,0.0,0.8,0.45815690999132624,0.5795392274978315
CHEMBL1254682,LEVALLORPHAN,10,0,1,0.6741742857142857,0.5456174285714286,-9.489,-8.0375,ADRA2A,False,Launched,opioid receptor antagonist,respiratory depression,283.4,3.64,23.5,0.0,1.0,0.2890648263178878,0.5778969208651862
CHEMBL1201237,LEVOBUNOLOL,10,1,1,0.6739999999999999,0.4951174285714286,-10.703,-7.051,ACVR1,False,Launched,adrenergic receptor antagonist,glaucoma|ocular hypertension,291.4,2.33,58.6,0.0,1.0,0.2890648263178878,0.5777662065794719
CHEMBL1290,PENBUTOLOL,10,1,1,0.6739999999999999,0.4751674285714286,-10.434,-7.09,AXL,False,Launched,adrenergic receptor antagonist,hypertension,291.4,3.47,41.5,0.0,1.0,0.2890648263178878,0.5777662065794719
CHEMBL1399,ANASTROZOLE,10,1,1,0.6739999999999999,0.5047674285714285,-10.245,-7.237,MAPK14,False,Launched,aromatase inhibitor,breast cancer,293.4,2.93,78.3,0.0,1.0,0.2890648263178878,0.5777662065794719
CHEMBL1201244,ROCURONIUM,10,0,2,0.617,0.4725174285714286,-9.551,-7.359,VASH2,False,Launched,acetylcholine receptor antagonist,anesthetic,529.8,4.41,59.0,0.0,0.75,0.45815690999132624,0.5772892274978315
CHEMBL1239,BENZYL BENZOATE,10,1,1,0.673,0.4820174285714286,-10.239,-6.872,SLC2A1,False,,,,212.2,3.04,26.3,0.0,1.0,0.2890648263178878,0.577016206579472
CHEMBL3184799,MEPHENTERMINE SULFATE,10,1,1,0.6719999999999999,0.5261174285714285,-10.231,-7.885,TNIK,False,,,,163.3,2.23,12.0,0.0,1.0,0.2890648263178878,0.5762662065794719
CHEMBL1200379,APRACLONIDINE HYDROCHLORIDE,10,1,1,0.671,0.47971742857142863,-10.23,-6.9675,AXL,False,,,,245.1,1.76,62.4,0.0,1.0,0.2890648263178878,0.5755162065794719
CHEMBL128,SUMATRIPTAN,10,0,0,0.7671742857142858,0.5542674285714286,-9.24,-7.0695,ADRA2A,True,Launched,serotonin receptor agonist,migraine headache,295.4,1.32,65.2,0.2,1.0,0.0,0.5753807142857144
CHEMBL28318,PROPYPHENAZONE,10,0,1,0.6699999999999999,0.46751742857142853,-9.978,-6.833,ITPKC,False,Preclinical,anti-inflammatory agent,,230.3,2.61,26.9,0.0,1.0,0.2890648263178878,0.5747662065794719
CHEMBL1089,PHENELZINE,10,0,1,0.669,0.5179174285714285,-9.716,-7.4085,AXL,False,Launched,monoamine oxidase inhibitor,depression,136.2,0.69,38.0,0.0,1.0,0.2890648263178878,0.5740162065794719
CHEMBL278819,MINAPRINE,10,0,1,0.6679999999999999,0.4791674285714286,-9.372,-6.7545,MAPK14,False,Withdrawn,serotonin reuptake inhibitor,,298.4,2.2,50.3,0.0,1.0,0.2890648263178878,0.5732662065794718
CHEMBL1259,METOCURINE,10,0,2,0.611,0.4401174285714286,-8.947,-7.017,AXL,False,Launched,acetylcholine receptor antagonist,muscle relaxant,652.8,7.45,55.4,0.0,0.75,0.45815690999132624,0.5727892274978316
CHEMBL946,AZATADINE,10,0,1,0.667,0.4627174285714286,-9.486,-6.6690000000000005,SLC2A1,False,Launched,histamine receptor antagonist,allergic rhinitis,290.4,3.71,16.1,0.0,1.0,0.2890648263178878,0.572516206579472
CHEMBL3183184,OCTINOXATE,10,0,2,0.61,0.49506742857142855,-9.734,-7.6675,MAPK14,False,Launched,,sunscreen lotion,290.4,4.47,35.5,0.0,0.7,0.45815690999132624,0.5720392274978315
CHEMBL494,ILOPROST,10,0,1,0.6659999999999999,0.5319674285714285,-9.33,-7.298,MAPK14,False,Launched,platelet aggregation inhibitor|prostanoid receptor agonist,pulmonary arterial hypertension (PAH),360.5,3.54,77.8,0.0,1.0,0.2890648263178878,0.5717662065794719
CHEMBL3084748,TROSPIUM CHLORIDE,10,0,1,0.6659999999999999,0.47531742857142856,-9.516,-6.8195,SERPINE1,False,,,,392.5,3.77,46.5,0.0,1.0,0.2890648263178878,0.5717662065794719
CHEMBL511,PYRILAMINE,10,0,1,0.665,0.5163174285714286,-9.443,-7.08,TNIK,False,,,,285.4,2.66,28.6,0.0,1.0,0.2890648263178878,0.5710162065794719
CHEMBL1371,CHLORZOXAZONE,10,0,1,0.665,0.48731742857142857,-9.385,-7.273,SERPINE1,False,Launched,bacterial 30S ribosomal subunit inhibitor,muscle relaxant,169.6,1.77,46.0,0.0,1.0,0.2890648263178878,0.5710162065794719
CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,10,0,1,0.665,0.5552674285714285,-9.459,-7.955,VASH2,False,,,,263.8,3.96,3.2,0.0,1.0,0.2890648263178878,0.5710162065794719
CHEMBL501,AMPHETAMINE SULFATE,10,0,1,0.665,0.5364174285714286,-9.615,-8.254000000000001,ACVR1,False,,,,135.2,1.58,26.0,0.0,1.0,0.2890648263178878,0.5710162065794719
CHEMBL1201760,BESIFLOXACIN,10,0,1,0.6639999999999999,0.4596674285714286,-9.376,-6.436999999999999,SERPINE1,False,Launched,bacterial DNA gyrase inhibitor,conjunctivitis,393.8,3.14,88.6,0.0,1.0,0.2890648263178878,0.5702662065794719
CHEMBL434394,NEBIVOLOL,10,0,1,0.6639999999999999,0.49571742857142853,-9.463,-7.304,GALNS,False,Launched,adrenergic receptor antagonist,hypertension,405.4,2.36,71.0,0.0,1.0,0.2890648263178878,0.5702662065794719
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,10,0,1,0.6639999999999999,0.4741674285714286,-9.428,-7.187,TNIK,False,,,,261.1,1.88,41.6,0.0,1.0,0.2890648263178878,0.5702662065794719
CHEMBL1237021,LURASIDONE,10,0,0,0.7601742857142857,0.47736742857142855,-9.163,-7.7379999999999995,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,492.7,4.26,56.8,0.4,0.75,0.0,0.5701307142857143
CHEMBL1201119,LIOTHYRONINE SODIUM,10,1,1,0.6621742857142857,0.42521742857142864,-9.859,-7.436999999999999,ADRA2A,False,,,,650.0,2.62,95.6,0.0,0.6,0.2890648263178878,0.5688969208651862
CHEMBL5,NALIDIXIC ACID,10,0,1,0.661,0.45461742857142856,-9.299,-6.7204999999999995,TNIK,False,,,,232.2,1.42,72.2,0.0,1.0,0.2890648263178878,0.5680162065794719
CHEMBL1476022,NOMEGESTROL ACETATE,10,1,1,0.6606742857142858,0.45766742857142856,-10.466,-6.779,ADRA2A,False,,,,370.5,4.19,60.4,0.0,0.9,0.2890648263178878,0.5677719208651862
CHEMBL1200406,DIMENHYDRINATE,10,0,1,0.6599999999999999,0.46731742857142855,-9.176,-6.82,GALNS,False,Launched,histamine receptor antagonist,motion sickness|nausea|vomiting,255.4,3.35,12.5,0.0,1.0,0.2890648263178878,0.5672662065794719
CHEMBL3188267,CAPMATINIB,10,0,1,0.6599999999999999,0.4792174285714286,-9.171,-7.071999999999999,MAPK14,False,,,,412.4,3.43,85.1,0.0,1.0,0.2890648263178878,0.5672662065794719
CHEMBL2138684,FROVATRIPTAN SUCCINATE,10,0,1,0.6599999999999999,0.5196674285714286,-9.235,-7.2875,ITPKC,False,,,,243.3,1.34,70.9,0.0,1.0,0.2890648263178878,0.5672662065794719
CHEMBL1518,PROPYLTHIOURACIL,10,0,1,0.659,0.5017174285714285,-9.114,-7.553,MAPK14,False,Launched,thyroid peroxidase inhibitor,hyperthyroidism|Grave's disease|goiter,170.2,1.38,48.6,0.0,1.0,0.2890648263178878,0.566516206579472
CHEMBL1200440,MEPIVACAINE HYDROCHLORIDE,10,0,1,0.659,0.5083174285714286,-9.212,-7.585,ACVR1,False,,,,246.4,2.73,32.3,0.0,1.0,0.2890648263178878,0.566516206579472
CHEMBL2028663,DABRAFENIB,10,0,2,0.6021742857142858,0.4389174285714287,-9.791,-7.9215,ADRA2A,False,Launched,RAF inhibitor,melanoma,519.6,5.36,110.9,0.0,0.4,0.45815690999132624,0.5661699417835458
CHEMBL490,PAROXETINE,10,0,1,0.6579999999999999,0.48536742857142856,-9.133,-7.211,SERPINE1,False,Launched,selective serotonin reuptake inhibitor (SSRI),depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,329.4,3.33,39.7,0.0,1.0,0.2890648263178878,0.5657662065794719
CHEMBL832,SULFINPYRAZONE,10,0,1,0.657,0.49181742857142857,-9.15,-6.981,ITPKC,False,Launched,uricosuric blocker,gout,404.5,3.8,63.7,0.0,1.0,0.2890648263178878,0.5650162065794719
CHEMBL592,LEVORPHANOL,10,0,1,0.6565,0.49996742857142856,-9.117,-7.3325,TNIK,False,,,,257.4,3.08,23.5,0.0,1.0,0.2890648263178878,0.5646412065794719
CHEMBL141305,CYCLOFENIL,10,1,1,0.655,0.4726674285714286,-10.897,-7.1129999999999995,AXL,False,,,,364.4,5.3,52.6,0.0,0.9,0.2890648263178878,0.563516206579472
CHEMBL1450,ATOVAQUONE,10,1,1,0.654,0.4342174285714286,-10.379,-6.172499999999999,ITPKC,False,Launched,mitochondrial electron transport inhibitor,pneumonia,366.8,5.51,54.4,0.0,0.9,0.2890648263178878,0.562766206579472
CHEMBL1200374,EXEMESTANE,10,1,1,0.653,0.48016742857142863,-10.429,-7.233499999999999,TNIK,False,Launched,aromatase inhibitor,breast cancer,296.4,4.03,34.1,0.0,0.9,0.2890648263178878,0.5620162065794719
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,10,1,1,0.653,0.4317174285714286,-10.129,-6.7509999999999994,VASH2,False,,,,284.4,4.24,6.5,0.0,0.9,0.2890648263178878,0.5620162065794719
CHEMBL1703,METFORMIN HYDROCHLORIDE,10,1,2,0.595,0.4146174285714285,-10.465,-7.16,GALNS,False,,,,129.2,-1.03,89.0,0.0,0.6,0.45815690999132624,0.5607892274978316
CHEMBL575,METHICILLIN,10,1,2,0.595,0.4321174285714286,-10.836,-7.247999999999999,SERPINE1,False,Launched,bacterial cell wall synthesis inhibitor,gram-negative bacterial infections|gram-positive bacterial infections,380.4,0.95,105.2,0.0,0.6,0.45815690999132624,0.5607892274978316
CHEMBL829,METHYLPROMAZINE,10,1,1,0.651,0.41061742857142863,-10.105,-6.2025,ITPKC,False,,,,298.5,4.49,6.5,0.0,0.9,0.2890648263178878,0.560516206579472
CHEMBL73234,CARBETAPENTANE,10,1,1,0.651,0.49736742857142857,-9.819,-7.4495000000000005,GALNS,False,Launched,acetylcholine receptor antagonist,common cold|nasal congestion|bronchitis,333.5,3.4,38.8,0.0,0.9,0.2890648263178878,0.560516206579472
CHEMBL607400,BRIVARACETAM,10,0,1,0.65,0.4871174285714286,-9.719,-7.1285,GALNS,False,,,,212.3,0.9,63.4,0.0,0.9,0.2890648263178878,0.559766206579472
CHEMBL3545363,GLECAPREVIR,10,1,2,0.593,0.4509174285714286,-10.262,-7.3454999999999995,ITPKC,False,Launched,serine protease inhibitor,hepatitis C,838.9,3.86,195.2,0.0,0.6,0.45815690999132624,0.5592892274978315
CHEMBL4071161,TIRABRUTINIB,10,1,2,0.593,0.44856742857142856,-9.847,-7.641,MAPK14,False,,,,454.5,2.75,108.3,0.0,0.6,0.45815690999132624,0.5592892274978315
CHEMBL1200358,SODIUM PHENYLACETATE,10,0,1,0.649,0.45976742857142855,-9.655,-6.8454999999999995,MAPK14,False,,,,135.1,-0.02,40.1,0.0,0.9,0.2890648263178878,0.5590162065794719
