symbol,chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,neg_aff,pct_in_target,n_ligands_target,z_in_target
ACVR1,CHEMBL621,-7.663,3,0.0,0.0,5.0,0,,_selftest,1,0,trazodone,TRAZODONE,371.9,2.36,45.8,0.0,4.0,5.0,0.0,10.0,Launched,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,depression,False,N06AX05,7.663,70.375,400,0.5190368800173889
ACVR1,CHEMBL623,-7.897,3,0.0,0.0,5.0,0,,_selftest,1,0,nefazodone,NEFAZODONE,470.0,3.55,55.5,0.0,5.0,10.0,0.0,20.0,Withdrawn,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor,,False,N06AX06,7.897,76.0,400,0.6964879786148831
ACVR1,CHEMBL629,-6.574,3,0.0,0.0,5.0,0,,_selftest,1,0,amitriptyline,AMITRIPTYLINE,277.4,4.17,3.2,0.0,1.0,3.0,0.0,14.0,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),depression,True,N06AA09,6.574,36.125,400,-0.30679323268633446
ACVR1,CHEMBL128,-8.326,3,0.0,0.0,5.0,0,,_selftest,1,0,sumatriptan,SUMATRIPTAN,295.4,1.32,65.2,2.0,3.0,6.0,0.0,12.0,Launched,serotonin receptor agonist,migraine headache,True,N02CC01,8.326,84.75,400,1.0218149927102895
ACVR1,CHEMBL647,-6.481,3,0.0,0.0,5.0,0,,_selftest,1,0,apraclonidine,APRACLONIDINE,245.1,1.76,62.4,3.0,2.0,1.0,0.0,4.0,Launched,adrenergic receptor agonist,glaucoma|intraocular pressure,False,S01EA03,6.481,33.0,400,-0.3773186693084155
ACVR1,CHEMBL134,-4.693,3,0.0,0.0,5.0,0,,_selftest,1,0,clonidine,CLONIDINE,230.1,2.36,36.4,2.0,3.0,1.0,0.0,2.0,Launched,adrenergic receptor agonist,hypertension|attention-deficit/hyperactivity disorder (ADHD),True,C02AC01;N02CX02;S01EA04,4.693,4.25,400,-1.7332270637200382
ACVR1,CHEMBL654,-6.214,3,0.0,0.0,5.0,0,,_selftest,1,0,mirtazapine,MIRTAZAPINE,265.4,2.48,19.4,0.0,3.0,0.0,0.0,0.0,Launched,adrenergic receptor antagonist|serotonin receptor antagonist,depression,False,N06AX11,6.214,28.249999999999996,400,-0.5797949228363252
ACVR1,CHEMBL677,-7.877,3,0.0,0.0,5.0,0,,_selftest,1,0,levonordefrin,LEVONORDEFRIN,183.2,0.48,86.7,4.0,4.0,2.0,0.0,12.0,Launched,vasodilator,hemorrhage,False,,7.877,75.5,400,0.6813212180509944
ACVR1,CHEMBL679,-5.441,3,0.0,0.0,5.0,0,,_selftest,1,0,epinephrine,EPINEPHRINE,183.2,0.35,72.7,4.0,4.0,3.0,0.0,12.0,Launched,adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter,cardiac arrest|anaphylactic shock|asthma,False,R03AA01;S01EA51;R01AA14;B02BC09;S01EA01;A01AD01;C01CA24;R03AK01,5.441,12.0,400,-1.1659902186306121
ACVR1,CHEMBL708,-5.597,3,0.0,0.0,5.0,0,,_selftest,1,0,ziprasidone,ZIPRASIDONE,412.9,3.81,48.5,1.0,5.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,False,N05AE04,5.597,15.125,400,-1.047689486232282
ACVR1,CHEMBL715,-6.524,3,0.0,0.0,5.0,0,,_selftest,1,0,olanzapine,OLANZAPINE,312.4,3.44,30.9,1.0,5.0,0.0,0.0,0.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,False,N05AH03,6.524,34.5,400,-0.34471013409605533
ACVR1,CHEMBL716,-5.794,3,0.0,0.0,5.0,0,,_selftest,1,0,quetiapine,QUETIAPINE,383.5,2.86,48.3,1.0,6.0,5.0,0.0,12.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,False,N05AH04,5.794,17.75,400,-0.898296894677982
ACVR1,CHEMBL27810,-6.907,3,0.0,0.0,5.0,0,,_selftest,1,0,celiprolol,CELIPROLOL,379.5,2.89,90.9,3.0,5.0,9.0,0.0,22.0,Launched,adrenergic receptor antagonist,Ehlers-Danlos syndrome (EDS),False,C07AB08,6.907,47.5,400,-0.05426666929759256
ACVR1,CHEMBL753,-6.339,3,0.0,0.0,5.0,0,,_selftest,1,0,phenoxybenzamine,PHENOXYBENZAMINE,303.8,4.19,12.5,0.0,2.0,8.0,0.0,16.0,Launched,adrenergic receptor antagonist,hypertension|pheochromocytoma,False,C04AX02,6.339,30.25,400,-0.4850026693120227
ACVR1,CHEMBL761,-9.802,3,0.0,0.0,5.0,0,,_selftest,1,0,naphazoline,NAPHAZOLINE,210.3,2.38,24.4,1.0,2.0,2.0,0.0,4.0,Launched,adrenergic receptor agonist,eye irritation,False,R01AA08;S01GA51;S01GA01;R01AB02,9.802,98.75,400,2.1411219223252522
ACVR1,CHEMBL762,-5.133,3,0.0,0.0,5.0,0,,_selftest,1,0,oxymetazoline,OXYMETAZOLINE,260.4,2.85,44.6,2.0,3.0,2.0,0.0,8.0,Launched,adrenergic receptor agonist,nasal congestion,False,D11AX27;R01AA05;S01GA04;R01AB07,5.133,8.75,400,-1.3995583313144933
ACVR1,CHEMBL770,-7.978,3,0.0,0.0,5.0,0,,_selftest,1,0,tolazoline,TOLAZOLINE,160.2,1.23,24.4,1.0,2.0,2.0,0.0,4.0,Launched,adrenergic receptor antagonist,reverse sedative,False,M02AX02;C04AB02,7.978,78.0,400,0.7579133588986308
ACVR1,CHEMBL778,-7.433,3,0.0,0.0,5.0,0,,_selftest,1,0,dexmedetomidine,DEXMEDETOMIDINE,200.3,3.18,28.7,1.0,1.0,2.0,0.0,4.0,Launched,adrenergic receptor agonist,sedative,True,N05CM18,7.433,65.0,400,0.3446191335326721
ACVR1,CHEMBL831,-7.359,3,0.0,0.0,5.0,0,,_selftest,1,0,loxapine,LOXAPINE,327.8,3.77,28.1,0.0,4.0,0.0,0.0,0.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,False,N05AH01,7.359,63.24999999999999,400,0.2885021194462851
ACVR1,CHEMBL289480,-9.076,3,0.0,0.0,5.0,0,,_selftest,1,0,rilmenidine,RILMENIDINE,180.3,1.15,33.6,1.0,3.0,3.0,0.0,6.0,Launched,adrenergic receptor agonist|imidazoline receptor agonist,hypertension,False,C02AC06,9.076,95.25,400,1.5905685138561043
ACVR1,CHEMBL844,-8.155,3,0.0,0.0,5.0,0,,_selftest,1,0,brimonidine,BRIMONIDINE,292.1,1.76,62.2,2.0,5.0,1.0,0.0,2.0,Launched,adrenergic receptor agonist,intraocular pressure|glaucoma|ocular hypertension,False,S01GA07;S01EA05;D11AX21,8.155,82.25,400,0.8921391898890427
ACVR1,CHEMBL862,-8.017,3,0.0,0.0,5.0,0,,_selftest,1,0,guanfacine,GUANFACINE,246.1,1.55,79.0,3.0,2.0,2.0,0.0,4.0,Launched,adrenergic receptor agonist,hypertension,False,C02AC02,8.017,79.5,400,0.7874885419982129
ACVR1,CHEMBL301265,-6.066,3,0.0,0.0,5.0,0,,_selftest,1,0,pramipexole,PRAMIPEXOLE,211.3,1.58,50.9,2.0,4.0,3.0,0.0,8.0,Launched,dopamine receptor agonist,Parkinson's Disease,False,N04BC05,6.066,23.75,400,-0.6920289510090997
ACVR1,CHEMBL312448,-6.786,3,0.0,0.0,5.0,0,,_selftest,1,0,xylometazoline,XYLOMETAZOLINE,244.4,3.15,24.4,1.0,2.0,2.0,0.0,6.0,Launched,adrenergic receptor agonist,nasal congestion|allergic rhinitis,False,S01GA53;R01AA07;R01AB06;S01GA03,6.786,43.5,400,-0.14602557070911767
ACVR1,CHEMBL1079,-7.565,3,0.0,0.0,5.0,0,,_selftest,1,0,tizanidine,TIZANIDINE,253.7,1.72,62.2,2.0,6.0,1.0,0.0,2.0,Launched,adrenergic receptor agonist,spasms,True,M03BX02,7.565,67.75,400,0.4447197532543359
ACVR1,CHEMBL1112,-6.15,3,0.0,0.0,5.0,0,,_selftest,1,0,aripiprazole,ARIPIPRAZOLE,448.4,4.86,44.8,1.0,4.0,7.0,0.0,14.0,Launched,serotonin receptor agonist|serotonin receptor antagonist,depression|schizophrenia|bipolar disorder,False,N05AX12,6.15,26.5,400,-0.628328556640768
ACVR1,CHEMBL1113,-7.722,3,0.0,0.0,5.0,0,,_selftest,1,0,amoxapine,AMOXAPINE,313.8,3.43,36.9,1.0,4.0,0.0,0.0,0.0,Launched,norepinephrine reputake inhibitor,depression,False,N06AA17,7.722,73.0,400,0.5637788236808599
ACVR1,CHEMBL1185,-9.014,3,0.0,0.0,5.0,0,,_selftest,1,0,zolmitriptan,ZOLMITRIPTAN,287.4,1.92,57.4,2.0,3.0,5.0,0.0,10.0,Launched,serotonin receptor agonist,migraine headache,True,N02CC03,9.014,94.25,400,1.5435515561080493
ACVR1,CHEMBL184412,-8.81,3,0.0,0.0,5.0,0,,_selftest,1,0,dronedarone,DRONEDARONE,556.8,7.05,88.8,1.0,6.0,18.0,0.0,36.0,Launched,adrenergic receptor antagonist,atrial fibrillation (AF),False,C01BD07,8.81,93.25,400,1.3888505983563886
ACVR1,CHEMBL1437,-7.183,3,0.0,0.0,5.0,0,,_selftest,1,0,norepinephrine,NOREPINEPHRINE,169.2,0.09,86.7,4.0,4.0,2.0,0.0,12.0,Launched,adrenergic receptor agonist,hypertension|urticaria|headache|seasonal affective disorder,False,C01CA03,7.183,55.50000000000001,400,0.15503462648406713
ACVR1,CHEMBL255044,-7.281,3,0.0,0.0,5.0,0,,_selftest,1,0,flupirtine,FLUPIRTINE,304.3,2.98,89.3,3.0,5.0,5.0,0.0,14.0,Launched,glutamate receptor antagonist,pain relief,True,N02BG07,7.281,59.62499999999999,400,0.22935175324712018
ACVR1,CHEMBL1732,-7.972,3,0.0,0.0,5.0,0,,_selftest,1,0,dihydroergotamine,DIHYDROERGOTAMINE,583.7,2.08,118.2,3.0,6.0,4.0,0.0,10.0,Launched,serotonin receptor agonist,migraine headache,False,N02CA01;N02CA51,7.972,77.75,400,0.7533633307294647
ACVR1,CHEMBL1764,-6.731,3,0.0,0.0,5.0,0,,_selftest,1,0,levomepromazine,LEVOMEPROMAZINE,328.5,4.5,15.7,0.0,4.0,5.0,0.0,10.0,Launched,dopamine receptor antagonist,psychosis|schizophrenia|bipolar disorder|nausea|insomnia,False,N05AA02,6.731,41.75,400,-0.18773416225981054
ACVR1,CHEMBL1201087,-7.69,3,0.0,0.0,5.0,0,,_selftest,1,0,cabergoline,CABERGOLINE,451.6,3.19,71.7,2.0,4.0,8.0,0.0,20.0,Launched,dopamine receptor agonist,hyperprolactinemia,False,G02CB03;N04BC06,7.69,71.5,400,0.5395120067786384
ACVR1,CHEMBL1201234,-5.597,3,0.0,0.0,5.0,0,,_selftest,1,0,mephentermine,MEPHENTERMINE,163.3,2.23,12.0,1.0,1.0,3.0,0.0,6.0,Launched,adrenergic receptor agonist,hypotension,False,C01CA11,5.597,15.125,400,-1.047689486232282
ACVR1,CHEMBL1237021,-7.611,3,0.0,0.0,5.0,0,,_selftest,1,0,lurasidone,LURASIDONE,492.7,4.26,56.8,0.0,6.0,5.0,0.0,10.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,False,N05AE05,7.611,68.75,400,0.47960330255127875
ACVR1,CHEMBL2103827,-8.648,3,0.0,0.0,5.0,0,,_selftest,1,0,droxidopa,DROXIDOPA,213.2,-0.46,124.0,5.0,5.0,3.0,0.0,16.0,Launched,norepinephrine precursor,hypertension|Parkinson's Disease,False,C01CA27,8.648,91.5,400,1.265999837788892
ACVR1,CHEMBL3188267,-6.624,3,0.0,0.0,5.0,0,,_selftest,1,0,capmatinib,CAPMATINIB,412.4,3.43,85.1,1.0,5.0,4.0,0.0,8.0,,,,False,L01EX17,6.624,37.25,400,-0.26887633127661364
ACVR1,CHEMBL1446650,-7.151,3,0.0,0.0,5.0,0,,_selftest,1,0,mebeverine hydrochloride,MEBEVERINE HYDROCHLORIDE,429.6,4.6,57.2,0.0,6.0,13.0,0.0,28.0,,,,False,,7.151,54.25,400,0.1307678095818457
ACVR1,CHEMBL3545309,-7.685,3,0.0,0.0,5.0,0,,_selftest,1,0,lefamulin acetate,LEFAMULIN ACETATE,507.7,3.87,109.9,3.0,7.0,5.0,0.0,28.0,,,,False,,7.685,71.25,400,0.5357203166376657
ACVR1,CHEMBL1229211,-7.473,3,0.0,0.0,5.0,0,,_selftest,1,0,dolutegravir,DOLUTEGRAVIR,419.4,1.35,100.9,2.0,5.0,3.0,0.0,8.0,Launched,HIV integrase inhibitor,human immunodeficiency virus (HIV-1),False,J05AJ03,7.473,65.5,400,0.3749526546604489
ACVR1,CHEMBL2106615,-6.2,3,0.0,0.0,5.0,0,,_selftest,1,0,bazedoxifene acetate,BAZEDOXIFENE ACETATE,470.6,6.33,57.9,2.0,4.0,7.0,0.0,30.0,,,,False,,6.2,27.750000000000004,400,-0.5904116552310472
ACVR1,CHEMBL1201288,-5.037,3,0.0,0.0,5.0,0,,_selftest,1,0,dantrolene,DANTROLENE,314.3,1.74,118.1,1.0,6.0,4.0,0.0,8.0,Launched,calcium channel blocker,spasms|malignant hyperthermia (MH),False,M03CA01,5.037,7.249999999999999,400,-1.4723587820211577
ACVR1,CHEMBL494753,-6.638,3,0.0,0.0,5.0,0,,_selftest,1,0,estrone sulfuric acid,ESTRONE SULFURIC ACID,350.4,3.29,80.7,1.0,4.0,2.0,0.0,6.0,,,,False,,6.638,37.75,400,-0.2582595988818916
ACVR1,CHEMBL887,-7.9,3,0.0,0.0,5.0,0,,_selftest,1,0,rasagiline,RASAGILINE,171.2,1.9,12.0,1.0,1.0,2.0,0.0,4.0,Launched,monoamine oxidase inhibitor,Parkinson's Disease,False,N04BD02,7.9,76.25,400,0.6987629926994665
ACVR1,CHEMBL566315,-7.264,3,0.0,0.0,5.0,0,,_selftest,1,0,obeticholic acid,OBETICHOLIC ACID,420.6,5.11,77.8,3.0,3.0,5.0,0.0,16.0,,,,False,A05AA04,7.264,58.75,400,0.21646000676781543
ACVR1,CHEMBL159226,-6.563,3,0.0,0.0,5.0,0,,_selftest,1,0,moxisylyte,MOXISYLYTE,279.4,2.98,38.8,0.0,4.0,6.0,0.0,14.0,Withdrawn,adrenergic receptor antagonist,,False,G04BE06;C04AX10,6.563,35.75,400,-0.3151349509964732
ACVR1,CHEMBL1200491,-5.774,3,0.0,0.0,5.0,0,,_selftest,1,0,epinastine hydrochloride,EPINASTINE HYDROCHLORIDE,249.3,2.47,41.6,1.0,3.0,0.0,0.0,0.0,,,,False,,5.774,17.0,400,-0.9134636552418701
ACVR1,CHEMBL4071161,-9.789,3,0.0,0.0,5.0,0,,_selftest,1,0,tirabrutinib,TIRABRUTINIB,454.5,2.75,108.3,1.0,6.0,4.0,0.0,14.0,,,,False,L01EL06,9.789,98.5,400,2.131263527958725
ACVR1,CHEMBL3545060,-7.931,3,0.0,0.0,5.0,0,,_selftest,1,0,erythromycin gluceptate,ERYTHROMYCIN GLUCEPTATE,733.9,1.79,193.9,5.0,14.0,7.0,0.0,50.0,,,,False,,7.931,76.75,400,0.7222714715734933
ACVR1,CHEMBL1200506,-6.14,3,0.0,0.0,5.0,0,,_selftest,1,0,erythromycin lactobionate,ERYTHROMYCIN LACTOBIONATE,733.9,1.79,193.9,5.0,14.0,7.0,0.0,50.0,,,,False,,6.14,25.75,400,-0.6359119369227128
ACVR1,CHEMBL1256400,-6.542,3,0.0,0.0,5.0,0,,_selftest,1,0,xylometazoline hydrochloride,XYLOMETAZOLINE HYDROCHLORIDE,244.4,3.15,24.4,1.0,2.0,2.0,0.0,6.0,,,,False,,6.542,35.0,400,-0.33106004958855595
ACVR1,CHEMBL492,-7.286,3,0.0,0.0,5.0,0,,_selftest,1,0,etidocaine,ETIDOCAINE,276.4,3.75,32.3,1.0,2.0,7.0,0.0,14.0,,,,False,N01BB57;N01BB07,7.286,60.5,400,0.23314344338809218
ACVR1,CHEMBL1098285,-7.806,3,0.0,0.0,5.0,0,,_selftest,1,0,distigmine bromide,DISTIGMINE BROMIDE,416.5,2.46,66.8,0.0,4.0,9.0,2.0,26.0,,,,False,,7.806,74.5,400,0.6274792180491908
ACVR1,CHEMBL1289926,-7.271,3,0.0,0.0,5.0,0,,_selftest,1,0,axitinib,AXITINIB,386.5,4.64,70.7,2.0,4.0,5.0,0.0,10.0,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,renal cell carcinoma (RCC),False,L01EK01,7.271,59.25,400,0.22176837296517612
ACVR1,CHEMBL1334033,-6.642,3,0.0,0.0,5.0,0,,_selftest,1,0,perhexiline maleate,PERHEXILINE MALEATE,277.5,5.3,12.0,1.0,1.0,4.0,0.0,8.0,,,,False,,6.642,38.0,400,-0.25522624676911354
ACVR1,CHEMBL1290,-6.608,3,0.0,0.0,5.0,0,,_selftest,1,0,penbutolol,PENBUTOLOL,291.4,3.47,41.5,2.0,3.0,6.0,0.0,16.0,Launched,adrenergic receptor antagonist,hypertension,False,C07AA23,6.608,36.75,400,-0.28100973972772436
ACVR1,CHEMBL1632,-7.643,3,0.0,0.0,5.0,0,,_selftest,1,0,cephalothin sodium,CEPHALOTHIN SODIUM,395.4,-0.74,115.8,1.0,8.0,6.0,-1.0,14.0,,,,False,,7.643,70.0,400,0.5038701194535002
ACVR1,CHEMBL667,-9.029,3,0.0,0.0,5.0,0,,_selftest,1,0,acetylcholine,ACETYLCHOLINE,146.2,0.26,26.3,0.0,2.0,3.0,1.0,8.0,Launched,acetylcholine receptor agonist,drowsiness|fatigue|headache|indigestion|chest congestion,False,S01EB09,9.029,94.75,400,1.554926626530966
ACVR1,CHEMBL1200601,-6.878,3,0.0,0.0,5.0,0,,_selftest,1,0,naratriptan hydrochloride,NARATRIPTAN HYDROCHLORIDE,335.5,2.07,65.2,2.0,3.0,5.0,0.0,10.0,,,,False,,6.878,45.5,400,-0.07625847211523067
ACVR1,CHEMBL1118,-5.89,3,0.0,0.0,5.0,0,,_selftest,1,0,desvenlafaxine,DESVENLAFAXINE,263.4,2.73,43.7,2.0,3.0,4.0,0.0,12.0,Launched,serotonin–norepinephrine reuptake inhibitor (SNRI),depression,False,N06AX23,5.89,19.5,400,-0.8254964439713177
ACVR1,CHEMBL1254682,-7.677,3,0.0,0.0,5.0,0,,_selftest,1,0,levallorphan,LEVALLORPHAN,283.4,3.64,23.5,1.0,2.0,2.0,0.0,6.0,Launched,opioid receptor antagonist,respiratory depression,False,,7.677,70.75,400,0.5296536124121103
ACVR1,CHEMBL637,-6.467,3,0.0,0.0,5.0,0,,_selftest,1,0,venlafaxine,VENLAFAXINE,277.4,3.04,32.7,1.0,3.0,5.0,0.0,12.0,Launched,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,True,N06AX16,6.467,32.75,400,-0.38793540170313756
ACVR1,CHEMBL341812,-7.636,3,0.0,0.0,5.0,0,,_selftest,1,0,ibufenac,IBUFENAC,192.3,2.51,37.3,1.0,1.0,4.0,0.0,10.0,,,,False,,7.636,69.5,400,0.4985617532561395
ACVR1,CHEMBL139877,-5.622,3,0.0,0.0,5.0,0,,_selftest,1,0,sulfacarbamide,SULFACARBAMIDE,215.2,-0.37,115.3,3.0,4.0,2.0,0.0,6.0,Withdrawn,,,False,,5.622,15.5,400,-1.028731035527422
ACVR1,CHEMBL2110725,-6.198,3,0.0,0.0,5.0,0,,_selftest,1,0,vinflunine,VINFLUNINE,816.9,5.08,133.9,2.0,11.0,7.0,0.0,30.0,Launched,microtubule inhibitor,bladder cancer,False,L01CA05,6.198,27.500000000000004,400,-0.5919283312874358
ACVR1,CHEMBL1722209,-7.48,3,0.0,0.0,5.0,0,,_selftest,1,0,tolterodine tartrate,TOLTERODINE TARTRATE,325.5,5.34,23.5,1.0,2.0,7.0,0.0,16.0,,,,False,,7.48,66.0,400,0.3802610208578103
ACVR1,CHEMBL36715,-7.707,3,0.0,0.0,5.0,0,,_selftest,1,0,piracetam,PIRACETAM,142.2,-0.91,63.4,1.0,2.0,2.0,0.0,4.0,Launched,acetylcholine receptor agonist,senile dementia,False,N06BX03,7.707,72.0,400,0.5524037532579431
ACVR1,CHEMBL3545363,-6.734,3,0.0,0.0,5.0,0,,_selftest,1,0,glecaprevir,GLECAPREVIR,838.9,3.86,195.2,3.0,11.0,6.0,0.0,36.0,Launched,serine protease inhibitor,hepatitis C,False,,6.734,42.0,400,-0.1854591481752272
ACVR1,CHEMBL3989401,-10.648,3,0.0,0.0,5.0,0,,_selftest,1,0,pamidronate disodium,PAMIDRONATE DISODIUM,233.1,-2.93,167.0,4.0,6.0,4.0,-2.0,16.0,,,,False,,10.648,99.25,400,2.7826758941777316
ACVR1,CHEMBL1238,-8.172,3,0.0,0.0,5.0,0,,_selftest,1,0,azelaic acid,AZELAIC ACID,188.2,1.89,74.6,2.0,2.0,8.0,0.0,20.0,,,,False,D10AX03,8.172,82.5,400,0.9050309363683489
ACVR1,CHEMBL423,-6.897,3,0.0,0.0,5.0,0,,_selftest,1,0,betaxolol,BETAXOLOL,307.4,2.39,50.7,2.0,4.0,11.0,0.0,24.0,Launched,adrenergic receptor antagonist,intraocular pressure|glaucoma|ocular hypertension,False,S01ED52;C07AB05;S01ED02,6.897,47.0,400,-0.061850049579536596
ACVR1,CHEMBL237500,-7.427,3,0.0,0.0,5.0,0,,_selftest,1,0,linagliptin,LINAGLIPTIN,472.6,1.15,116.9,1.0,7.0,4.0,0.0,12.0,Launched,dipeptidyl peptidase inhibitor,diabetes mellitus,False,A10BH05,7.427,64.375,400,0.3400691053635054
ACVR1,CHEMBL1356,-7.596,3,0.0,0.0,5.0,0,,_selftest,1,0,sodium benzoate,SODIUM BENZOATE,121.1,0.05,40.1,0.0,2.0,1.0,-1.0,2.0,,,,False,A16AX11,7.596,68.25,400,0.4682282321283627
ACVR1,CHEMBL1200323,-8.619,3,0.0,0.0,5.0,0,,_selftest,1,0,labetalol hydrochloride,LABETALOL HYDROCHLORIDE,328.4,2.14,95.6,4.0,4.0,8.0,0.0,20.0,,,,False,,8.619,90.875,400,1.244008034971254
ACVR1,CHEMBL946,-6.807,3,0.0,0.0,5.0,0,,_selftest,1,0,azatadine,AZATADINE,290.4,3.71,16.1,0.0,2.0,0.0,0.0,8.0,Launched,histamine receptor antagonist,allergic rhinitis,False,R06AX09,6.807,43.75,400,-0.13010047211703427
ACVR1,CHEMBL2105345,-5.17,3,0.0,0.0,5.0,0,,_selftest,1,0,propanidid,PROPANIDID,337.4,2.44,65.1,0.0,5.0,10.0,0.0,22.0,,,,False,N01AX04,5.17,9.5,400,-1.3714998242712997
ACVR1,CHEMBL17,-6.94,3,0.0,0.0,5.0,0,,_selftest,1,0,dichlorphenamide,DICHLORPHENAMIDE,305.2,0.29,120.3,2.0,4.0,2.0,0.0,8.0,,,,False,S01EC02,6.94,49.0,400,-0.029241514367176435
